SAS Variable Name,Label
_STATE,State FIPS Code
FMONTH,File Month
IDATE,Interview Date
IMONTH,Interview Month
IDAY,Interview Day
IYEAR,Interview Year
DISPCODE,Final Disposition
SEQNO,Annual Sequence Number
_PSU,Primary Sampling Unit
CTELENM1,Correct telephone number?
PVTRESD1,Private Residence?
COLGHOUS,Do you live in college housing?
STATERE1,Resident of State
CELPHON1,Cellular Telephone
LADULT1,Are you 18 years of age or older?
COLGSEX1,Are you male or female?
NUMADULT,Number of Adults in Household
LANDSEX1,Are you male or female?
NUMMEN,Number of Adult men in Household
NUMWOMEN,Number of Adult women in Household
RESPSLCT,Respondent selection
SAFETIME,Safe time to talk
CTELNUM1,Correct Phone Number?
CELLFON5,Is this a cell phone?
CADULT1,Are you 18 years of age or older?
CELLSEX1,Are you male or female?
PVTRESD3,Do you live in a private residence?
CCLGHOUS,Do you live in college housing?
CSTATE1,Do you currently live in  ____(state)____?
LANDLINE,Do you also have a landline telephone?
HHADULT,Number of Adults in Household
SEXVAR,Sex of Respondent
GENHLTH,General Health
PHYSHLTH,Number of Days Physical Health Not Good
MENTHLTH,Number of Days Mental Health Not Good
POORHLTH,Poor Physical or Mental Health
PRIMINSR,What is Primary Source of Health Insurance?
PERSDOC3,Have Personal Health Care Provider?
MEDCOST1,Could Not Afford To See Doctor
CHECKUP1,Length of time since last routine checkup
EXERANY2,Exercise in Past 30 Days
SLEPTIM1,How Much Time Do You Sleep
LASTDEN4,Last Visited Dentist or Dental Clinic
RMVTETH4,Number of Permanent Teeth Removed
CVDINFR4,Ever Diagnosed with Heart Attack
CVDCRHD4,Ever Diagnosed with Angina or Coronary Heart Disease
CVDSTRK3,Ever Diagnosed with a Stroke
ASTHMA3,Ever Told Had Asthma
ASTHNOW,Still Have Asthma
CHCSCNC1,(Ever told) (you had) skin cancer that is not melanoma?
CHCOCNC1,(Ever told) (you had)  melanoma or any other types of cancer?
CHCCOPD3,Ever told you had C.O.P.D. emphysema or chronic bronchitis?
ADDEPEV3,(Ever told) you had a depressive disorder
CHCKDNY2,Ever told you have kidney disease?
HAVARTH4,Told Had Arthritis
DIABETE4,(Ever told) you had diabetes
MARITAL,Marital Status
EDUCA,Education Level
RENTHOM1,Own or Rent Home
NUMHHOL4,Household Landline Telephones
VETERAN3,Are You A Veteran
EMPLOY1,Employment Status
CHILDREN,Number of Children in Household
INCOME3,Income Level
PREGNANT,Pregnancy Status
WEIGHT2,Reported Weight in Pounds
HEIGHT3,Reported Height in Feet and Inches
DEAF,Are you deaf or do you have serious difficulty hearing?
BLIND,Blind or Difficulty seeing
DECIDE,Difficulty Concentrating or Remembering
DIFFWALK,Difficulty Walking or Climbing Stairs
DIFFDRES,Difficulty Dressing or Bathing
DIFFALON,Difficulty Doing Errands Alone
HADMAM,Have You Ever Had a Mammogram
HOWLONG,How Long since Last Mammogram
CERVSCRN,Have you ever had a cervical cancer screening test?
CRVCLCNC,Time since last cervical cancer screening test
CRVCLPAP,Have a PAP test and recent cervical cancer screening
CRVCLHPV,Have an H.P.V. test and recent cervical cancer screening
HADHYST2,Had Hysterectomy
HADSIGM4,Ever Had Sigmoidoscopy/Colonoscopy
COLNSIGM,"Ever had a colonoscopy, sigmoidoscopy, or both"
COLNTES1,How long since you had colonoscopy
SIGMTES1,How long since you had sigmoidoscopy
LASTSIG4,Time Since Last Sigmoidoscopy/Colonoscopy
COLNCNCR,Ever had any other kind of test for colorectal cancer
VIRCOLO1,Ever had a virtual colonoscopy
VCLNTES2,How long since you had  virtual colonoscopy
SMALSTOL,Ever had stool test?
STOLTEST,How long since you had stool test?
STOOLDN2,Ever had stool DNA test?
BLDSTFIT,Was test part of Cologuard test?
SDNATES1,How long since you had stool DNA
SMOKE100,Smoked at Least 100 Cigarettes
SMOKDAY2,Frequency of Days Now Smoking
USENOW3,Use of Smokeless Tobacco Products
ECIGNOW2,"Do you now use e-cigarettes, or vaping products every day, some days, or not at all?"
LCSFIRST,How old when you first started smoking?
LCSLAST,How old when you last smoked?
LCSNUMCG,"On average, how many cigarettes do you smoke each day?"
LCSCTSC1,Did you have a CT or CAT scan?
LCSSCNCR,Were any CT or CAT scans done to check for lung cancer?
LCSCTWHN,When did you have your most recent CT or CAT scan?
ALCDAY4,Days in past 30 had alcoholic beverage
AVEDRNK3,Avg alcoholic drinks per day in past 30
DRNK3GE5,Binge Drinking
MAXDRNKS,Most drinks on single occasion past 30 days
